,Unnamed: 0.1,Unnamed: 0,Ticker,Name,Description,Mrkt Cap,Sector
0,0,0,A,Agilent Technologies,Life Sciences Tools & Services,48.21B,Healthcare
1,1,1,AA,Alcoa,Metals & Mining,11.15B,Materials
2,2,2,AAC,Ares Acquisition,Blank Check / SPAC,1.22B,SPAC
3,3,3,AACG,ATA Creativity Global,Diversified Consumer Services,33.59M,Discretionary
4,4,4,AACI,Armada Acquisition I,Blank Check / SPAC,202.75M,SPAC
5,5,5,AADI,Aadi Bioscience,Biotechnology,504.59M,Healthcare
6,6,6,AAIC,Arlington Asset Investment,Mortgage Real Estate Investment Trus...,110.18M,Real Estate
7,7,7,AAL,American Airlines Group,Airlines,11.63B,Industrial
8,8,8,AAMC,Altisource Asset Management,Real Estate Management & Development,36.79M,Real Estate
9,9,9,AAME,Atlantic American,Insurance,49.93M,Financials
10,10,10,AAN,The Aaron's Company,Specialty Retail,776.06M,Discretionary
11,11,11,AAOI,Applied Optoelectronics,Communications Equipment,140.31M,Industrial
12,12,12,AAON,"AAON, Inc.",Building Products,4.16B,Industrial
13,13,13,AAP,Advance Auto Parts,Specialty Retail,14.96B,Discretionary
14,14,14,AAPL,Apple,"Technology Hardware, Storage & Periph...","2,913.28B",Information Technology
15,15,15,AAQC,Accelerate Acquisition,Blank Check / SPAC,486.00M,SPAC
16,16,16,AAT,American Assets Trust,Equity Real Estate Investment Trusts...,2.27B,Real Estate
17,17,17,AATC,Autoscope Technologies,Scientific & Technical Instruments,33.79M,Industrial
18,18,18,AAU,Almaden Minerals,Metals & Mining,41.43M,Materials
19,19,19,AAWW,Atlas Air Worldwide Holdings,Air Freight & Logistics,2.73B,Industrial
20,20,20,AB,AllianceBernstein Holding,Capital Markets,4.82B,Financials
21,21,21,ABB,ABB Ltd,Electrical Equipment,76.09B,Industrial
22,22,22,ABBV,AbbVie,Biotechnology,239.37B,Healthcare
23,23,23,ABC,AmerisourceBergen,Health Care Providers & Services,27.66B,Healthcare
24,24,24,ABCB,Ameris Bancorp,Banks,3.46B,Financials
25,25,25,ABCL,AbCellera Biologics,Biotechnology,4.03B,Healthcare
26,26,26,ABCM,Abcam,Biotechnology,5.39B,Healthcare
27,27,27,ABEO,Abeona Therapeutics,Biotechnology,49.41M,Healthcare
28,28,28,ABEV,Ambev,Beverages,44.07B,Discretionary
29,29,29,ABG,Asbury Automotive Group,Specialty Retail,4.00B,Discretionary
30,30,30,ABGI,ABG Acquisition I,Blank Check / SPAC,189.07M,SPAC
31,31,31,ABIO,ARCA biopharma,Biotechnology,30.98M,Healthcare
32,32,32,ABM,ABM Industries,Commercial Services & Supplies,2.75B,Industrial
33,33,33,ABMD,Abiomed,Health Care Equipment & Supplies,16.34B,Healthcare
34,34,34,ABNB,Airbnb,"Hotels, Restaurants & Leisure",105.79B,Discretionary
35,35,35,ABOS,Acumen Pharmaceuticals,Biotechnology,273.58M,Healthcare
36,36,36,ABR,Arbor Realty Trust,Mortgage Real Estate Investment Trus...,2.76B,Real Estate
37,37,37,ABSI,Absci,Biotechnology,759.25M,Healthcare
38,38,38,ABST,Absolute Software,Software-Application,468.81M,Information Technology
39,39,39,ABT,Abbott Laboratories,Health Care Equipment & Supplies,248.87B,Healthcare
40,40,40,ABTX,Allegiance Bancshares,Banks,854.78M,Financials
41,41,41,ABUS,Arbutus Biopharma,Biotechnology,526.20M,Healthcare
42,42,42,ABVC,ABVC BioPharma,Biotechnology,96.99M,Healthcare
43,43,43,AC,Associated Capital Group,Capital Markets,948.50M,Financials
44,44,44,ACA,Arcosa,Construction & Engineering,2.55B,Industrial
45,45,45,ACAD,ACADIA Pharmaceuticals,Biotechnology,3.75B,Healthcare
46,46,46,ACAH,Atlantic Coastal Acquisition,Blank Check / SPAC,420.90M,SPAC
47,47,47,ACAQ,Athena Consumer Acquisition,Blank Check / SPAC,277.41M,SPAC
48,48,48,ACB,Aurora Cannabis,Pharmaceuticals,1.07B,Healthcare
49,49,49,ACBA,Ace Global Business Acquisition,Blank Check / SPAC,61.45M,SPAC
50,50,50,ACBI,Atlantic Capital Bancshares,Banks,584.17M,Financials
51,51,51,ACC,American Campus Communities,Equity Real Estate Investment Trusts...,7.97B,Real Estate
52,52,52,ACCD,Accolade,Health Care Technology,1.76B,Healthcare
53,53,53,ACCO,ACCO Brands,Commercial Services & Supplies,790.74M,Industrial
54,54,54,ACEL,Accel Entertainment,"Hotels, Restaurants & Leisure",1.22B,Discretionary
55,55,55,ACER,Acer Therapeutics,Pharmaceuticals,32.63M,Healthcare
56,56,56,ACET,Adicet Bio,Health Care Providers & Services,684.61M,Healthcare
57,57,57,ACEV,ACE Convergence Acquisition,Blank Check / SPAC,286.35M,SPAC
58,58,58,ACGL,Arch Capital Group,Insurance,17.16B,Financials
59,59,59,ACH,Aluminum Corporation of China,Metals & Mining,14.69B,Materials
60,60,60,ACHC,Acadia Healthcare Company,Health Care Providers & Services,5.46B,Healthcare
61,61,61,ACHL,Achilles Therapeutics,Biotechnology,203.42M,Healthcare
62,62,62,ACHR,Archer Aviation,Aerospace & Defense,1.43B,Industrial
63,63,63,ACHV,Achieve Life Sciences,Biotechnology,73.55M,Healthcare
64,64,64,ACI,Albertsons Companies,Grocery Stores,14.10B,Staples
65,65,65,ACII,Atlas Crest Investment II,Blank Check / SPAC,419.61M,SPAC
66,66,66,ACIU,AC Immune,Biotechnology,359.63M,Healthcare
67,67,67,ACIW,ACI Worldwide,Software,4.08B,Information Technology
